id,question,options,answer,level,subIndex,isPremium,blockId,createdAt,updatedAt
B02-S1,Order the code for BLOCK-02 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B02-S2,Order the code for BLOCK-02 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-E1,Order the code for BLOCK-03 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-E2,Order the code for BLOCK-03 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-M1,Order the code for BLOCK-03 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-M2,Order the code for BLOCK-03 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-S1,Order the code for BLOCK-03 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B03-S2,Order the code for BLOCK-03 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-03,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-E1,Order the code for BLOCK-04 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-E2,Order the code for BLOCK-04 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-M1,Order the code for BLOCK-04 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-M2,Order the code for BLOCK-04 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-S1,Order the code for BLOCK-04 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B04-S2,Order the code for BLOCK-04 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-04,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-E1,Order the code for BLOCK-05 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-E2,Order the code for BLOCK-05 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-M1,Order the code for BLOCK-05 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-M2,Order the code for BLOCK-05 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-S1,Order the code for BLOCK-05 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B05-S2,Order the code for BLOCK-05 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-05,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-E1,Order the code for BLOCK-06 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-E2,Order the code for BLOCK-06 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-M1,Order the code for BLOCK-06 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-M2,Order the code for BLOCK-06 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-S1,Order the code for BLOCK-06 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B06-S2,Order the code for BLOCK-06 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-06,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-E1,Order the code for BLOCK-07 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-E2,Order the code for BLOCK-07 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-M1,Order the code for BLOCK-07 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-M2,Order the code for BLOCK-07 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-S1,Order the code for BLOCK-07 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B07-S2,Order the code for BLOCK-07 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-07,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-E1,Order the code for BLOCK-08 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-E2,Order the code for BLOCK-08 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-M1,Order the code for BLOCK-08 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-M2,Order the code for BLOCK-08 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-S1,Order the code for BLOCK-08 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B08-S2,Order the code for BLOCK-08 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-08,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-E1,Order the code for BLOCK-09 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-E2,Order the code for BLOCK-09 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-M1,Order the code for BLOCK-09 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-M2,Order the code for BLOCK-09 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-S1,Order the code for BLOCK-09 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B09-S2,Order the code for BLOCK-09 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-09,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-E1,Order the code for BLOCK-10 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-E2,Order the code for BLOCK-10 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-M1,Order the code for BLOCK-10 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-M2,Order the code for BLOCK-10 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-S1,Order the code for BLOCK-10 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B10-S2,Order the code for BLOCK-10 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-10,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-E1,Order the code for BLOCK-11 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-E2,Order the code for BLOCK-11 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-M1,Order the code for BLOCK-11 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-M2,Order the code for BLOCK-11 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-S1,Order the code for BLOCK-11 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B11-S2,Order the code for BLOCK-11 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-11,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-E1,Order the code for BLOCK-12 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-E2,Order the code for BLOCK-12 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-M1,Order the code for BLOCK-12 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-M2,Order the code for BLOCK-12 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-S1,Order the code for BLOCK-12 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B12-S2,Order the code for BLOCK-12 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-12,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-E1,Order the code for BLOCK-13 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-E2,Order the code for BLOCK-13 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-M1,Order the code for BLOCK-13 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-M2,Order the code for BLOCK-13 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-S1,Order the code for BLOCK-13 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B13-S2,Order the code for BLOCK-13 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-13,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-E1,Order the code for BLOCK-14 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-E2,Order the code for BLOCK-14 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-M1,Order the code for BLOCK-14 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-M2,Order the code for BLOCK-14 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-S1,Order the code for BLOCK-14 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B14-S2,Order the code for BLOCK-14 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-14,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-E1,Order the code for BLOCK-15 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-E2,Order the code for BLOCK-15 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-M1,Order the code for BLOCK-15 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-M2,Order the code for BLOCK-15 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-S1,Order the code for BLOCK-15 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B15-S2,Order the code for BLOCK-15 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-15,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-E1,Order the code for BLOCK-16 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-E2,Order the code for BLOCK-16 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-M1,Order the code for BLOCK-16 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-M2,Order the code for BLOCK-16 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-S1,Order the code for BLOCK-16 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B16-S2,Order the code for BLOCK-16 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-16,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-E1,Order the code for BLOCK-17 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-E2,Order the code for BLOCK-17 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-M1,Order the code for BLOCK-17 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-M2,Order the code for BLOCK-17 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-S1,Order the code for BLOCK-17 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B17-S2,Order the code for BLOCK-17 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-17,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-E1,Order the code for BLOCK-18 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-E2,Order the code for BLOCK-18 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-M1,Order the code for BLOCK-18 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-M2,Order the code for BLOCK-18 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-S1,Order the code for BLOCK-18 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B18-S2,Order the code for BLOCK-18 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-18,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-E1,Order the code for BLOCK-19 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-E2,Order the code for BLOCK-19 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-M1,Order the code for BLOCK-19 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-M2,Order the code for BLOCK-19 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-S1,Order the code for BLOCK-19 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B19-S2,Order the code for BLOCK-19 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-19,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B20-E1,Order the code for BLOCK-20 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-20,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B20-E2,Order the code for BLOCK-20 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-20,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
